Code,Drug name,Type,Notes
d9…,Compound antidepressants drugs,Compound,
d91..,Compound antidepressants A-Z,Compound,
d8…,Monoamine-oxidase inhibitors,MAOI,
d81..,phenelzine,MAOI,
d82..,iproniazid,MAOI,
d83..,Isocarboxid,MAOI,
d84..,Tranylcypromine,MAOI,
d85..,Moclobemide,MAOI,
da…,Other antidepressant drugs,Other,
da1..,Flupentixol [antidepressant],Other,
da2..,Tryptophan,Other,
daD..,Agomelatine,Other,
d7e..,Trazodone hydrochloride,SARI,
da8.,Nefazodone,SARI,
d7g..,Viloxazine,SNRI,
da7..,Venlafaxine,SNRI,
daA..,Reboxetine,SNRI,
gde..,Duloxetine,SNRI,
da3..,Fluvoxamine,SSRI,
da4..,Fluoxetine,SSRI,
da5..,Sertraline,SSRI,
da6..,Paroxetine,SSRI,
da9..,Citalopram,SSRI,
daC..,Escitalopram,SSRI,
daE..,Vortioxetine,SSRI,
d7…,Tricyclic antidepressants,TCA,
d71..,Amitriptyline hydrochloride ,TCA,
d72..,Butriptyline,TCA,
d73..,Clomipramine Hydrochloride,TCA,
d74..,desipramine,TCA,
d75..,Dosulepin hydrochloride,TCA,
d76..,Doxepin,TCA,
d77..,Imipramine hydrochloride,TCA,
d78..,Iprindole,TCA,
d79..,Lofepramine,TCA,
d7c..,Nortriptyline,TCA,
d7d..,Protriptyline,TCA,
d7f..,Trimipramine,TCA,
d7h..,Amoxapine,TCA,
d7a..,Maprotiline hydrochloride,TeCA,
d7b..,Mainserin hydrochloride,TeCA,
daB..,Mirtazapine,TeCA,
gd1..,*amitriptyline hcl [enuresis] [see d71],,
gd5..,*imipramine hydrochloride [enuresis][see d77..],,
