read_codes,description
667,Epilepsy monitoring
9h6,Exception reporting - epilepsy quality indicators
9Of,Epilepsy screening administration
F25,Epilepsy
1473,H/O: epilepsy
14On,At risk of sudden unexpected death in epilepsy
1B1W,Transient epileptic amnesia
1B26,Trigger factor for seizure
1B27,Seizures in response to acute event
1O30,Epilepsy confirmed
2822,O/E - grand mal fit
2823,O/E Petit mal fit
2824,O/E - focal (Jacksonian) fit
2825,O/E - psychomotor fit
2826,O/E - Salaam attack
2828,Absence seizure
38VX,Neurological Disorders Depression Inventory in Epilepsy
6110,Contraceptive advice for patients with epilepsy
667B,Nocturnal epilepsy
667N,Epilepsy severity
667Z,Epilepsy monitoring NOS
67AF,Pregnancy advice for patients with epilepsy
67IJ0,Pre-conception advice for patients with epilepsy
8B66,Anticonvulsant therapy
8BIF,Epilepsy medication review
8BL3,Patient on maximal tolerated anticonvulsant therapy
8CE7,Epilepsy leaflet given
8Hlp,Referral to epilepsy clinic
8IAg,Contraceptive advice for patients with epilepsy declined
8IAh,Pre-conception advice for patients with epilepsy declined
8IAi,Pregnancy advice for patients with epilepsy declined
8IB2,Contraceptive advice for patients with epilepsy not indicated
8IB3,Pre-conception advice for patients with epilepsy not indicated
8IB4,Pregnancy advice for patients with epilepsy not indicated
8T0L,Referral to epilepsy service
94F1,SUDEP - sudden unexpected death in epilepsy
9N0r,Seen in epilepsy clinic
9N4V,Did not attend epilepsy clinic
9Of3,Epilepsy monitoring verbal invite
9Of4,Epilepsy monitoring telephone invite
9Of5,Epilepsy monitoring call first letter
9Of6,Epilepsy monitoring call second letter
9Of7,Epilepsy monitoring call third letter
F250,Generalised non-convulsive epilepsy
F251,Generalised convulsive epilepsy
F252,Petit mal status
F253,Grand mal status
F254,Partial epilepsy with impairment of consciousness
F255,Partial epilepsy without impairment of consciousness
F256,West syndrome
F257,Kojevnikov's epilepsy
F258,Post-ictal state
F259,Ohtahara syndrome
F25A,Juvenile myoclonic epilepsy
F25B,Alcohol-induced epilepsy
F25C,Drug-induced epilepsy
F25D,Menstrual epilepsy
F25E,Stress-induced epilepsy
F25F,Photosensitive epilepsy
F25G,Severe myoclonic epilepsy in infancy
F25H,Generalised seizure
F25X,"[X]Status epilepticus, unspecified"
F25y,Other forms of epilepsy
F25z,Epilepsy NOS
44WF0,Anticonvulsant level therapeutic
Eu803,[X] Acquired aphasia with epilepsy [Landau-Kleffner]
F10y2,PEHO syndrome
F1321,Unverricht - Lundborg disease
F1323,Myoclonic encephalopathy
F2500,Petit mal (minor) epilepsy
F2501,Pykno-epilepsy
F2502,Epileptic seizures - atonic
F2503,Epileptic seizures - akinetic
F2504,Juvenile absence epilepsy
F2505,Lennox-Gastaut syndrome
F250y,Other specified generalised nonconvulsive epilepsy
F250z,Generalised nonconvulsive epilepsy NOS
F2510,Grand mal epilepsy
F2511,Neonatal myoclonic epilepsy
F2512,Epileptic seizures - clonic
F2513,Epileptic seizures - myoclonic
F2514,Epileptic seizures - tonic
F2515,Tonic-clonic epilepsy
F2516,Grand mal seizure
F251y,Other specified generalised convulsive epilepsy
F251z,Generalised convulsive epilepsy NOS
F2540,Temporal lobe epilepsy
F2541,Psychomotor epilepsy
F2542,Psychosensory epilepsy
F2543,Limbic system epilepsy
F2544,Epileptic automatism
F2545,Complex partial epileptic seizure
F254z,Partial epilepsy with impairment of consciousness NOS
F2550,"Jacksonian, focal or motor epilepsy"
F2551,Sensory induced epilepsy
F2552,Somatosensory epilepsy
F2553,Partial epilepsy with autonomic symptoms
F2554,Visual reflex epilepsy
F2555,Unilateral epilepsy
F2556,Simple partial epileptic seizure
F255y,Partial epilepsy without impairment of consciousness OS
F255z,Partial epilepsy without impairement of consciousness NOS
F2560,Hypsarrhythmia
F2561,Salaam attacks
F256z,Infantile spasms NOS
F25y0,Cursive (running) epilepsy
F25y1,Gelastic epilepsy
F25y2,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset
F25y3,Complex partial status epilepticus
F25y4,Benign Rolandic epilepsy
F25y5,Panayiotopoulos syndrome
F25yz,Other forms of epilepsy NOS
Fyu50,[X]Other generalized epilepsy and epileptic syndromes
Fyu51,[X]Other epilepsy
Fyu52,[X]Other status epilepticus
R0034,Nocturnal seizure
SC200,Traumatic epilepsy
